Time_s,Ax_ms2,Ay_ms2,Az_ms2
0.404,-1.148,-4.668,8.608
0.416,-0.956,-4.553,8.493
0.426,-0.842,-4.629,8.493
0.437,-0.765,-4.591,8.493
0.448,-0.612,-4.782,8.532
0.46,-0.574,-4.744,8.379
0.47,-0.497,-5.088,8.455
0.481,-0.536,-5.203,8.455
0.492,-0.65,-5.165,8.455
0.503,-0.842,-5.088,8.455
0.514,-0.995,-5.05,8.493
0.525,-1.339,-4.897,8.493
0.536,-1.416,-4.591,8.493
0.548,-1.569,-4.362,8.34
0.559,-1.836,-4.515,8.379
0.569,-1.76,-5.127,8.493
0.58,-1.836,-5.509,8.532
0.592,-1.836,-5.854,8.532
0.602,-1.607,-5.777,8.302
0.613,-1.492,-5.739,8.34
0.624,-2.296,-3.175,7.958
0.635,-2.066,-4.362,8.34
0.646,-1.913,-5.088,8.532
0.657,-1.569,-4.476,8.187
0.668,-1.569,-4.094,8.111
0.679,-1.53,-3.826,8.149
0.69,-1.836,-4.247,8.379
0.701,-1.913,-4.706,8.532
0.712,-1.875,-4.935,8.455
0.723,-1.722,-4.897,8.264
0.735,-1.53,-4.897,8.149
0.746,-1.492,-5.012,8.264
0.757,-1.722,-4.897,8.264
0.768,-1.913,-4.629,8.187
0.779,-2.143,-4.782,8.455
0.79,-2.257,-4.668,8.455
0.801,-2.143,-4.974,8.455
0.812,-1.989,-4.859,8.302
0.823,-1.836,-5.433,8.493
0.834,-1.607,-5.471,8.417
0.845,-1.875,-4.859,8.187
0.856,-1.913,-5.318,8.532
0.866,-1.989,-5.509,8.685
0.877,-2.181,-4.935,8.608
0.888,-2.143,-4.821,8.455
0.9,-1.913,-4.744,8.417
0.91,-1.951,-4.897,8.417
0.922,-2.066,-4.668,8.34
0.933,-1.645,-5.127,8.417
0.944,-1.836,-4.629,8.302
0.955,-1.645,-4.515,8.187
0.966,-1.875,-4.17,8.379
0.977,-2.028,-3.941,8.264
0.988,-2.219,-3.826,8.34
0.999,-2.104,-4.629,8.455
1.01,-1.798,-4.859,8.532
1.021,-1.722,-4.821,8.532
1.032,-1.722,-4.782,8.647
1.042,-1.645,-5.088,8.8
1.053,-1.454,-4.974,8.953
1.064,-1.569,-5.088,9.067
1.076,-1.722,-4.897,9.106
1.086,-1.645,-5.088,8.953
1.097,-1.454,-4.935,8.8
1.109,-9.45,1.607,10.292
1.121,-3.979,-4.668,9.526
1.131,-2.716,-3.29,8.417
1.142,-1.76,-4.4,7.614
1.153,-1.454,-4.362,7.652
1.164,-1.454,-4.668,7.499
1.175,-1.263,-4.323,7.384
1.186,-1.224,-4.285,7.461
1.197,-1.263,-4.285,7.346
1.208,-1.148,-4.476,7.384
1.219,-1.492,-4.668,7.652
1.23,-1.607,-4.668,7.499
1.241,-1.645,-4.553,7.461
