Time_s,Ax_ms2,Ay_ms2,Az_ms2
0.404,-1.213,-4.564,8.571
0.415,-1.0,-4.517,8.541
0.426,-0.901,-4.566,8.54
0.437,-0.791,-4.54,8.543
0.448,-0.636,-4.788,8.638
0.459,-0.549,-4.745,8.33
0.47,-0.386,-5.096,8.482
0.481,-0.484,-5.233,8.45
0.492,-0.648,-5.09,8.403
0.503,-0.86,-5.095,8.431
0.514,-1.072,-5.105,8.448
0.525,-1.26,-4.926,8.446
0.536,-1.361,-4.656,8.565
0.547,-1.592,-4.45,8.242
0.558,-1.783,-4.512,8.372
0.569,-1.696,-5.163,8.581
0.58,-1.835,-5.532,8.534
0.591,-1.884,-5.947,8.517
0.603,-1.596,-5.813,8.258
0.614,-1.463,-5.683,8.381
0.625,-2.377,-3.232,7.892
0.636,-2.067,-4.378,8.311
0.647,-1.882,-5.08,8.546
0.658,-1.487,-4.469,8.238
0.669,-1.563,-4.098,8.042
0.68,-1.465,-3.857,8.072
0.691,-1.727,-4.224,8.355
0.702,-1.923,-4.746,8.578
0.713,-1.843,-4.886,8.488
0.724,-1.667,-4.915,8.248
0.735,-1.592,-4.878,8.043
0.746,-1.5,-5.002,8.241
0.757,-1.65,-4.965,8.208
0.768,-1.996,-4.655,8.233
0.779,-2.093,-4.839,8.458
0.79,-2.261,-4.629,8.399
0.801,-2.166,-4.918,8.408
0.812,-1.918,-4.937,8.312
0.823,-1.825,-5.511,8.45
0.834,-1.613,-5.585,8.429
0.845,-1.814,-4.804,8.212
0.856,-1.889,-5.276,8.594
0.867,-1.973,-5.526,8.635
0.878,-2.254,-4.891,8.635
0.889,-2.09,-4.853,8.457
0.9,-1.909,-4.807,8.47
0.911,-1.958,-4.869,8.403
0.922,-1.939,-4.596,8.314
0.933,-1.677,-4.999,8.444
0.944,-1.871,-4.73,8.283
0.955,-1.642,-4.533,8.16
0.966,-1.837,-4.193,8.294
0.977,-1.908,-3.875,8.225
0.989,-2.25,-3.855,8.3
1.0,-2.158,-4.626,8.46
1.011,-1.803,-4.871,8.604
1.022,-1.703,-4.727,8.526
1.033,-1.692,-4.801,8.626
1.044,-1.639,-5.037,8.756
1.055,-1.483,-5.018,8.947
1.066,-1.562,-5.199,8.917
1.077,-1.704,-4.881,9.226
1.088,-1.618,-5.135,8.894
1.099,-1.402,-4.936,8.813
1.11,-9.465,1.673,10.283
1.121,-4.006,-4.729,9.473
1.132,-2.662,-3.258,8.362
